,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,2734.0,0.0,0.0,0.0,0.0,5.0,83.0,0.0,68.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,43.0
1,0.0,1436.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0
2,0.0,0.0,1716.0,0.0,0.0,0.0,49.0,15.0,0.0,46.0,0.0,0.0,0.0,0.0,20.0,13.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,354.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,20.0,19.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,1162.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,41.0,0.0
5,5.0,0.0,0.0,0.0,2.0,2928.0,19.0,28.0,3.0,0.0,0.0,0.0,0.0,24.0,21.0,0.0,0.0,0.0,56.0,0.0
6,83.0,0.0,49.0,0.0,0.0,19.0,1468.0,0.0,2.0,23.0,0.0,0.0,0.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,15.0,0.0,0.0,28.0,0.0,726.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,23.0,0.0,0.0,0.0,0.0
8,68.0,37.0,0.0,0.0,0.0,3.0,2.0,0.0,1258.0,18.0,8.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,28.0
9,0.0,0.0,46.0,0.0,0.0,0.0,23.0,0.0,18.0,1330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,8.0,0.0,1210.0,40.0,1.0,12.0,0.0,0.0,25.0,0.0,0.0,0.0
11,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,2080.0,28.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0
12,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,144.0,6.0,0.0,0.0,0.0,28.0,0.0,0.0
13,25.0,0.0,0.0,27.0,54.0,24.0,7.0,0.0,14.0,0.0,12.0,0.0,6.0,1224.0,16.0,0.0,0.0,22.0,6.0,0.0
14,0.0,0.0,20.0,0.0,0.0,21.0,11.0,29.0,0.0,0.0,0.0,0.0,0.0,16.0,426.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,13.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.0,0.0,0.0,0.0,0.0
16,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,33.0,0.0,0.0,0.0,0.0,1450.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,22.0,0.0,0.0,0.0,260.0,0.0,0.0
18,0.0,0.0,0.0,0.0,41.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,164.0,0.0
19,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
